TK20-2;TK20-3;TK20-4;TK20-5;TK20-6;TK20-7;TK20-8;TK20-9;TK20-10;TK20-11;TK20-12;TK20-13;TK20-14;TK20-15;TK20-16;TK20-17;TK20-18;TK20-19;TK20-20;TK20-21;TK20-22;TK20-23;TK20-24;TK20-25;TK20-26;TK20-27;TK20-28;TK20-29;TK20-30
112;32;46;25;15;35;24;20;3;55;138;26;260;2;68;15;5;7;0;9;56;17;50;22;4;25;0;8;7
189;48;153;53;24;113;15;30;8;88;438;36;1849;12;87;38;8;21;0;18;142;35;539;58;7;32;0;19;25
43;33;44;128;37;340;109;797;27;52;121;37;261;138;1305;285;256;461;0;43;49;29;73;322;164;382;7;673;37
183;124;259;4;12;53;27;164;69;166;313;45;1196;16;64;19;5;33;0;312;378;90;124;38;34;22;2;71;341
562;540;325;136;51;68;27;71;16;288;1018;431;2272;119;739;50;52;25;1;153;613;466;397;166;143;129;2;70;60
128;34;47;68;68;278;381;69;5;161;260;10;382;23;292;95;177;90;1;90;128;13;116;99;53;97;2;85;443
230;194;522;1239;81;61;32;14;8;326;442;201;4061;675;289;19;5;7;1;192;353;165;591;652;613;75;3;6;18
618;928;2573;888;180;195;84;114;24;956;1183;1015;21168;581;332;58;38;125;5;384;970;595;3258;772;497;177;0;36;83
254;276;793;1211;46;1163;127;698;153;212;437;316;4325;1726;5537;885;404;385;2;145;298;184;778;1201;889;1555;74;283;124
22;23;17;11;28;11;2;8;4;455;45;8;64;1;67;6;10;3;0;136;25;9;29;19;8;14;0;6;2
4309;4810;3346;778;799;1254;620;106;61;2292;8678;2660;18456;607;3674;494;489;195;7;877;4840;2938;4512;1417;760;737;26;72;195
589;926;2207;646;467;561;229;377;40;94;1272;791;11024;872;4139;342;1404;295;6;58;860;821;3517;2717;604;810;49;322;133
4038;3354;218;77;64;41;41;17;5;461;9413;2883;1183;287;234;10;9;32;6;132;9665;2525;132;133;115;42;0;29;35
527;376;341;66;102;47;4;9;6;2178;725;226;1945;33;284;17;4;5;9;2183;738;201;483;101;68;37;0;6;11
642;1069;364;32;13;36;13;12;8;623;1154;851;1944;74;104;7;3;16;2;562;1027;831;250;249;41;28;0;9;15
588;323;506;9;21;36;3;11;2;248;1077;314;3101;11;80;17;12;3;0;98;964;302;610;84;14;14;2;2;2
1464;969;663;179;108;560;85;91;30;544;3381;832;4556;78;946;266;36;55;1;289;2059;851;1010;254;150;209;3;50;55
650;754;946;108;53;177;74;44;19;939;1274;654;5266;92;405;104;31;31;6;863;738;672;1695;626;167;154;1;31;48
48;49;131;63;16;81;42;95;2;52;74;34;742;46;143;31;7;52;0;29;34;39;186;65;57;46;1;21;4
35;58;89;103;38;140;39;90;9;39;54;28;531;51;180;60;34;68;0;4;25;39;137;80;76;66;0;25;15
1241;1875;399;40;22;179;39;33;7;1192;2253;1160;3292;115;124;121;4;14;2;590;2346;1035;340;249;40;54;0;16;24
1938;1646;348;9;9;18;5;6;9;581;4287;1362;1911;2;20;1;2;6;4;225;2709;1035;318;25;8;7;0;1;9
550;387;1203;227;1277;1086;126;21;12;498;1174;266;9044;253;2437;553;19;42;8;469;729;276;3295;1683;390;696;1;29;100
177;338;595;44;33;108;64;110;3;61;416;326;1972;18;117;42;7;76;0;24;192;281;487;85;13;43;1;23;10
526;214;53;3;7;17;5;2;1;159;917;217;259;2;28;7;9;9;0;38;490;189;85;22;5;3;0;1;2
587;247;803;4;6;14;9;25;11;236;1278;190;4616;9;27;9;8;11;0;98;887;208;470;23;8;12;0;6;29
642;195;1370;7;7;25;17;40;34;789;1356;156;8752;11;31;10;11;11;4;289;942;174;1494;64;16;15;1;22;31
141;102;147;69;58;209;59;125;7;26;291;56;822;30;320;78;25;74;0;10;177;80;263;123;77;94;1;45;26
